"104年8月違反勞動基準法而依第80-1條公布之相關資料",,,,,,
"項次","事業單位名稱
（負責人姓名）","違反法令條款","違反法規內容","處分書文號","處分日期","備註"
1,"億萬年貿易股份有限公司","勞動基準法第32條第2項","延長工作時間超過法令規定。","府勞條字 第1040448404號",1040713,
2,"東和興實業股份有限公司","勞動基準法第38條","未依規定給予特別休假。","府勞條字 第1040564657號",1040703,
3,"嘉男股份有限公司","勞動基準法第24條","延長工作時間未依規定加給工資。","府勞條字 第1040580310號",1040701,
,,"勞動基準法第32條第2項","延長工作時間超過法令規定。",,,
,,"勞動基準法第36條","每七日中未有一日之休息作為例假。",,,
4,"彪仕醫技股份有限公司","勞動基準法第32條第2項","延長工作時間超過法令規定。","府勞條字 第1040640398號",1040710,
5,"劉亮吟 (即龍鳳東大門韓國料理)","勞動基準法第36條","每七日中未有一日之休息作為例假。","府勞條字 第1040641313號",1040721,
6,"天九興業股份有限公司","勞動基準法第24條","延長工作時間未依規定加給工資。","府勞條字 第1040641791號",1040708,
7,"松建加油站股份有限公司","勞動基準法第21條第1項","未達基本工資。","府勞條字 第1040643561號",1040707,
8,"欣昱晟工業股份有限公司","勞動基準法第32條第2項","延長工作時間超過法令規定。","府勞條字 第1040659090號",1040729,
9,"黃文晏(即七彩皇室部屋)","勞動基準法第30條第5項","未依規定置備勞工出勤紀錄表。","府勞條字 第1040676050號",1040717,
10,"李姿燕（即碑仔頭冷飲店）","勞動基準法第36條","每七日中未有一日之休息作為例假。","府勞條字 第1040680073號",1040717,
11,"竤彩股份有限公司","勞動基準法第21條第1項","未達基本工資。","府勞條字 第1040686019號",1040724,
12,"楊燕菁(即清心冷飲善化二店)","勞動基準法第23條第2項","未依規定置備勞工工資清冊。","府勞條字 第1040706780號",1040724,
,,"勞動基準法第36條","每七日中未有一日之休息作為例假。",,,
13,"振喬企業有限公司","勞動基準法第23條第2項","未依規定置備勞工工資清冊。","府勞條字 第1040706848號",1040724,
14,"麗邑實業有限公司","勞動基準法第24條","延長工作時間未依規定加給工資。","府勞條字 第1040706865號",1040724,
,,"勞動基準法第32條第2項","延長工作時間超過法令規定。",,,
